id,nome,partido,uf,email,foto_url,pagina_url
6345,Fernando Farias,MDB,AL,sen.fernandofarias@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6345
345,Flávio Arns,PSB,PR,sen.flavioarns@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/345
5894,Flávio Bolsonaro,PL,RJ,sen.flaviobolsonaro@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894
6008,Giordano,MDB,SP,sen.giordano@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6008
6341,Hamilton Mourão,REPUBLICANOS,RS,sen.hamiltonmourao@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6341.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6341
5008,Humberto Costa,PT,PE,sen.humbertocosta@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008
5385,Irajá,PSD,TO,sen.iraja@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385
6010,Ivete da Silveira,MDB,SC,sen.ivetedasilveira@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6010.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6010
4770,Izalci Lucas,PL,DF,sen.izalcilucas@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770
35,Jader Barbalho,MDB,PA,sen.jaderbarbalho@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/35
6340,Jaime Bagattoli,PL,RO,sen.jaimebagattoli@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6340.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6340
581,Jaques Wagner,PT,BA,sen.jaqueswagner@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/581
4531,Jayme Campos,UNIÃO,MT,sen.jaymecampos@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4531
5895,Jorge Kajuru,PSB,GO,sen.jorgekajuru@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5895
6342,Jorge Seif,PL,SC,sen.jorgeseif@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6342.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6342
6305,José Lacerda,PSD,MT,sen.joselacerda@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6305.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6305
6369,Jussara Lima,PSD,PI,sen.jussaralima@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6369.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6369
4811,Laércio Oliveira,PP,SE,sen.laerciooliveira@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4811.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4811
5979,Leila Barros,PDT,DF,sen.leilabarros@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979
5926,Lucas Barreto,PSD,AP,sen.lucasbarreto@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5926
1186,Luis Carlos Heinze,PP,RS,sen.luiscarlosheinze@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1186
631,Magno Malta,PL,ES,sen.magnomalta@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/631
5376,Mara Gabrilli,PSD,SP,sen.maragabrilli@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5376
742,Marcelo Castro,MDB,PI,sen.marcelocastro@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/742
285,Marcio Bittar,PL,AC,sen.marciobittar@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/285
5422,Marcos Rogério,PL,RO,sen.marcosrogerio@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5422
5942,Marcos do Val,PODEMOS,ES,sen.marcosdoval@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5942
6027,Mecias de Jesus,REPUBLICANOS,RR,sen.meciasdejesus@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6027
5985,Nelsinho Trad,PSD,MS,sen.nelsinhotrad@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5985
5525,Omar Aziz,PSD,AM,sen.omaraziz@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5525
5924,Oriovisto Guimarães,PSDB,PR,sen.oriovistoguimaraes@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5924
5523,Otto Alencar,PSD,BA,sen.ottoalencar@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523
825,Paulo Paim,PT,RS,sen.paulopaim@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/825
5502,Plínio Valério,PSDB,AM,sen.pliniovalerio@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502
5386,Professora Dorinha Seabra,UNIÃO,TO,sen.professoradorinhaseabra@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5386.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5386
5012,Randolfe Rodrigues,PT,AP,sen.randolferodrigues@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012
70,Renan Calheiros,MDB,AL,sen.renancalheiros@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/70
5732,Rodrigo Pacheco,PSD,MG,sen.rodrigopacheco@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5732
4694,Rogerio Marinho,PL,RN,sen.rogeriomarinho@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4694.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4694
5352,Rogério Carvalho,PT,SE,sen.rogeriocarvalho@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5352
5322,Romário,PL,RJ,sen.romario@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5322
6331,Sergio Moro,UNIÃO,PR,sen.sergiomoro@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6331.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6331
5988,Soraya Thronicke,PODEMOS,MS,sen.sorayathronicke@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5988
5959,Styvenson Valentim,PSDB,RN,sen.styvensonvalentim@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5959
4560,Sérgio Petecão,PSD,AC,sen.sergiopetecao@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4560
6338,Teresa Leitão,PT,PE,sen.teresaleitao@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6338.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6338
5736,Tereza Cristina,PP,MS,sen.terezacristina@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5736.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5736
5899,Vanderlan Cardoso,PSD,GO,sen.vanderlancardoso@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5899
5748,Veneziano Vital do Rêgo,MDB,PB,sen.venezianovitaldorego@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5748
1173,Wellington Fagundes,PL,MT,sen.wellingtonfagundes@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1173
5411,Weverton,PDT,MA,sen.wevertonrocha@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411
5070,Wilder Morais,PL,GO,sen.wildermorais@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5070.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5070
5783,Zenaide Maia,PSD,RN,sen.zenaidemaia@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5783
3806,Zequinha Marinho,PODEMOS,PA,sen.zequinhamarinho@senado.leg.br,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3806.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3806
